Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0373100024120000079;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание услуг по технической поддержке и доработке аппаратно-программного комплекса АИС «Поликлиника»;;'201770912346077090100101060016202242';;;505000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОЛИКЛИНИКА № 2""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОЛИКЛИНИКА № 2""";02.12.2020;02.12.2020;Подача заявок;;;09.12.2020;
44-ФЗ;№0375100003420000168;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;"Оказание услуг по сопровождению Медицинской Информационной Системы (КПС""Виста-МЕД"")";;'201784100049991100100101880016202244';;;510000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЕВПАТОРИЙСКИЙ ВОЕННЫЙ ДЕТСКИЙ КЛИНИЧЕСКИЙ САНАТОРИЙ ИМЕНИ Е.П.ГЛИНКИ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЕВПАТОРИЙСКИЙ ВОЕННЫЙ ДЕТСКИЙ КЛИНИЧЕСКИЙ САНАТОРИЙ ИМЕНИ Е.П.ГЛИНКИ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";02.12.2020;02.12.2020;Подача заявок;;;11.12.2020;
223-ФЗ;№32009750179;Прочие;оказание услуг по сопровождению пользователей и технической поддержки серверного и сетевого оборудования;;;1;оказание услуг по сопровождению пользователей и технической поддержки серверного и сетевого оборудования;2448000.00;RUB;;;;;62.03.12: Услуги по управлению компьютерными системами;62.03.12: Услуги по управлению компьютерными системами;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСТИНИЦА""";;01.12.2020;01.12.2020;Работа комиссии;;01.12.2020;22.12.2020;
44-ФЗ;№0363100010820000043;Закрытый аукцион;            Услуги по   информационно-техническому сопровождению (обслуживанию) справочно-правовой   системы      ;;'201672900691867290100100610016209242';;;142950.00;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ВОЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВОЕННАЯ АКАДЕМИЯ ВОЙСКОВОЙ ПРОТИВОВОЗДУШНОЙ ОБОРОНЫ ВООРУЖЕННЫХ СИЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ИМЕНИ МАРШАЛА СОВЕТСКОГО СОЮЗА А.М.ВАСИЛЕВСКОГО"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ВОЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВОЕННАЯ АКАДЕМИЯ ВОЙСКОВОЙ ПРОТИВОВОЗДУШНОЙ ОБОРОНЫ ВООРУЖЕННЫХ СИЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ИМЕНИ МАРШАЛА СОВЕТСКОГО СОЮЗА А.М.ВАСИЛЕВСКОГО"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";01.12.2020;01.12.2020;Подача заявок;;02.12.2020;10.12.2020;
44-ФЗ;№0849400000520000009;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;"Оказание услуг по информационно-технологическому сопровождению централизованных государственных учреждений (ИТС ЦГУ) программ ""1С: Предприятие"" для нужд филиала федерального казенного учреждения ""Объединенное стратегическое командование Северного флота"" - ""2 финансово-экономическая служба"" в 2021 году";;'201511000510651104300100150016203242';;;300180.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ОБЪЕДИНЕННОЕ СТРАТЕГИЧЕСКОЕ КОМАНДОВАНИЕ СЕВЕРНОГО ФЛОТА""-""2 ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ СЛУЖБА""";"ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ОБЪЕДИНЕННОЕ СТРАТЕГИЧЕСКОЕ КОМАНДОВАНИЕ СЕВЕРНОГО ФЛОТА""-""2 ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ СЛУЖБА""";01.12.2020;01.12.2020;Подача заявок;Запрет на допуск товаров, работ, услуг при осуществлении закупок, а также ограничения и условия допуска в соответствии с требованиями, установленными ст. 14 Закона № 44-ФЗ;;09.12.2020;
44-ФЗ;№0137100003420000006;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;"оказание услуг по информационному сопровождению и техническому обслуживанию в 2021 году ранее установленной справочно-правовой системы ""ГАРАНТ""";;'201402702509540270100100080016203242';;;265000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ КАЛУЖСКОЙ ОБЛАСТИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ КАЛУЖСКОЙ ОБЛАСТИ""";01.12.2020;01.12.2020;Подача заявок;"Запрет на допуск товаров, работ, услуг при осуществлении закупок, а также ограничения и условия допуска в соответствии с требованиями, установленными ст. 14 Закона № 44-ФЗ; Субъектам малого предпринимательства, социально ориентированным некоммерческим организациям";;09.12.2020;
44-ФЗ;№0373100096520000544;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;"Оказание консультационных услуг по сопровождению и адаптации автоматизированной системы   «1С:Медицина, Больничная аптека"" в 2021 году";;'201773409783177340100108130016203242';;;1200000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ""";01.12.2020;01.12.2020;Подача заявок;;;09.12.2020;
44-ФЗ;№0373100096520000543;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание консультационных услуг по сопровождению лабораторной  информационной системы «Алтэй» в 2021г.    ;;'201773409783177340100108120016203242';;;1450000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ""";01.12.2020;01.12.2020;Подача заявок;;;09.12.2020;
44-ФЗ;№0373100096520000542;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание консультационных услуг по сопровождению радиологической информационной системы                                            «Видар-ИнфоРад 3.0» в 2021г.    ;;'201773409783177340100108110016203242';;;2400000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ""";01.12.2020;01.12.2020;Подача заявок;;;09.12.2020;
44-ФЗ;№0349100006720000215;Закрытый аукцион;Оказание информационных услуг с использованием Справочно Правовых Систем Консультант Плюс в 2021г.;;'201511050054151100100103252156203242';;;270720.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""1469 ВОЕННО-МОРСКОЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""1469 ВОЕННО-МОРСКОЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";01.12.2020;01.12.2020;Подача заявок;;01.12.2020;11.12.2020;
