Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0138200002924000001;Электронный аукцион;Оказание услуг по предоставлению простой (неисключительной) лицензии на право использования программного средства антивирусной защиты;;'242410105989741010100100460016201242';;;173115.00;RUB;;;;;62.01.29.000: Оригиналы программного обеспечения прочие;62.01.29.000-00000009:  Программное средство антивирусной защиты;ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ КАМЧАТСКОГО КРАЯ;ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ КАМЧАТСКОГО КРАЯ;22.01.2024;30.01.2024;Работа комиссии;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;22.01.2024;30.01.2024;
44-ФЗ;№0162600003624000001;Электронный аукцион;Оказание услуг по оцифровке архивных документов, находящихся на хранении в архиве администрации Шалинского городского округа;;'243665700195766840100100010016311244';;;334000.00;RUB;;;;;63.11.11.000: Услуги по обработке данных;63.11.11.000: Услуги по обработке данных;АДМИНИСТРАЦИЯ ШАЛИНСКОГО ГОРОДСКОГО ОКРУГА;АДМИНИСТРАЦИЯ ШАЛИНСКОГО ГОРОДСКОГО ОКРУГА;19.01.2024;30.01.2024;Работа комиссии;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;19.01.2024;30.01.2024;
223-ФЗ;№32413225588;Прочие;Предоставление прав на использование программ и сметных баз данных «ГРАНД-Смета» для нужд филиала ПАО «Россети Волга» - «Чувашэнерго» (242114/3);;;1;Предоставление прав на использование программ и сметных баз данных «ГРАНД-Смета» (242114/3);1114800.00;RUB;;;;;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ВОЛГА""";;29.01.2024;29.01.2024;Подача заявок;;29.01.2024;08.02.2024;
44-ФЗ;№0318300353424000006;Электронный аукцион;Передача Сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ;;'243231507791723150100100120016202244';;;599387.73;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 2 ГОРОДА НОВОРОССИЙСКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 2 ГОРОДА НОВОРОССИЙСКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";29.01.2024;29.01.2024;Подача заявок;;29.01.2024;07.02.2024;
223-ФЗ;№32413225377;Прочие;Оказание услуг по сопровождению и техническому обслуживанию программных продуктов;;;1;Оказание услуг по сопровождению и техническому обслуживанию  программных продуктов ;2736000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;МУНИЦИПАЛЬНОЕ ВОДОКАНАЛИЗАЦИОННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ХАНТЫ-МАНСИЙСК;;29.01.2024;29.01.2024;Работа комиссии;;29.01.2024;29.01.2024;
223-ФЗ;№32413225549;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Оказание услуг по внедрению и сопровождению системы управления для нужд Автономного учреждения ""Медиа-центр Орехово-Зуевского городского округа Московской области"" на 2024 г.";;;1;"Оказание услуг по внедрению и сопровождению системы управления для нужд Автономного учреждения ""Медиа-центр Орехово-Зуевского городского округа Московской области"" на 2024 г.";220000.00;RUB;;;;;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""МЕДИА-ЦЕНТР ОРЕХОВО-ЗУЕВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ""";;29.01.2024;29.01.2024;Подача заявок;;29.01.2024;06.02.2024;
223-ФЗ;№32413201591;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по внедрению информационной системы для подготовки тарифных заявок (сводного шаблона) в сферах холодного водоснабжения и водоотведения в 2024-2025 годах;;;1;Выполнение работ по внедрению информационной системы для подготовки тарифных заявок (сводного шаблона) в сферах холодного водоснабжения и водоотведения в 2024-2025 годах;25784024.40;RUB;;;;;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";;22.01.2024;29.01.2024;Подача заявок;;22.01.2024;05.02.2024;
44-ФЗ;№0360200020124000008;Электронный аукцион;Оказание услуги по технической поддержке электронного периодического справочника «Система Гарант»;;'242644901690664490100100170016202244';;;65520.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ  САРАТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""НАДЕЖДА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ  САРАТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""НАДЕЖДА""";29.01.2024;29.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.01.2024;07.02.2024;
223-ФЗ;№32413223165;Прочие;Услуги программного обеспечения Справочной Правовой Системы КонсультантПлюс.;;;1;Услуги программного обеспечения Справочной Правовой Системы КонсультантПлюс.;107369.16;RUB;;;;;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ВОЕННО-ИСТОРИЧЕСКИЙ ЦЕНТР ""ДОМ ОФИЦЕРОВ ЗАБАЙКАЛЬСКОГО КРАЯ""";;29.01.2024;29.01.2024;Работа комиссии;;29.01.2024;;
44-ФЗ;№0373100099924000003;Открытый конкурс в электронной форме;Оказание услуг по информационному обслуживанию (оптимизация, модернизация, развитие и поддержание в работоспособном состоянии) информационных систем РХТУ им. Д.И. Менделеева;;'241770707263777070100100060016201244';;;9500000.00;RUB;;;;;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ ХИМИКО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Д.И. МЕНДЕЛЕЕВА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ ХИМИКО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Д.И. МЕНДЕЛЕЕВА""";24.01.2024;29.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;;09.02.2024;
