Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413214857;"Предоставления права использования программы для ЭВМ СЭД ""Диалог""";62.09: Услуги в области информационных технологий прочие и компьютерные услуги;25.01.2024
№32413214817;"Оказание услуг по адаптации и дальнейшему сопровождению конфигурации программного продукта ""1С:Предприятие 8"" для нужд ГУП «Торжокское ДРСУ»";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№32413211950;Оказание услуг по инженерно-техническому сопровождению: «1С: Зарплата и кадры государственного учреждения, редакция 3.1»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;25.01.2024
№32413214760;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;63.11.11.000: Услуги по обработке данных;25.01.2024
№32413211749;Услуги по абонентскому обслуживанию оборудования, принадлежащего заказчику;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№32413214673;услуги по предпроектному обследованию для последующего внедрения программного продукта «1С: Документооборот государственного учреждения»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;25.01.2024
№32413214640;Оказание услуг по информационному обслуживанию продуктов 1С для нужд НПХ «Кубань»;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0319300108824000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, совместимых с установленными экземплярами Систем КонсультантПлюс в Администрации Дзержинского района Красноярского края;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413214157;Оказание услуг по сопровождению и технической поддержке информационной системы для автоматизации деятельности в области охоты и сохранения охотничьих ресурсов «Охотуправление»;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;25.01.2024
№32413211863;Оказание услуг по сопровождению электронного периодического справочника «Система ГАРАНТ»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;25.01.2024
№0172300010424000001;Оказание информационных услуг с использованием экземпляров Систем «КонсультантПлюс» на основе специального лицензионного программного обеспечения, обеспечивающего совместимость  информационных услуг с установленными у Заказчика экземплярами Систем «КонсультантПлюс» ;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413214492;Закупка по приобретению исключительного права на передачу и адаптацию (установку, регистрацию, тестирование, формирование в комплекты и внесение других изменений, необходимых для работоспособности оборудования) экземпляров Систем: СПС «Консультант Бюджетные организации смарт-комплект Оптимальный» - ОВП, Спец. выпуск, в т.ч. СКС и дополнительных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
