Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0172300007024000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Местной администрации внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Шувалово-Озерки экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс) для нужд Местной администрации внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Шувалово-Озерки;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413203085;Закупка услуг по сопровождению ИТС Медицина 1С;62.01.29.000: Оригиналы программного обеспечения прочие;23.01.2024
№32413202913;Оказание информационных услуг по сопровождению имеющейся справочной правовой системы ;62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№0157300007024000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Администрации Палкинского района, на 2024 год.;62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№32413202764;Оказание  услуг по сопровождению компьютерных систем (закупка программного сопровождения 1С), для нужд АО «Орелоблэнерго»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№0321300014424000003;Оказание консультационных услуг и технической поддержки пользователей комплексной системы автоматизации медицинского учреждения (КСАМУ), установленной в ГБУЗ СК «Кировская РБ»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413202545;Комплексное обслуживание ИТ-инфраструктуры;62.02.30: Услуги по технической поддержке информационных технологий;23.01.2024
№32413202355;"Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы ""Консультант Плюс"" для нужд филиала ""НОЗИП"" ФКП ""НИО ""ГБИП России""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№32413202309;Право заключения договора на оказание услуг по адаптации и сопровождению справочно-правовой системы «КонсультантПлюс» для нужд филиала «АтомЭнергоСбыт» Хакасия Общества с ограниченной ответственностью «АтомЭнергоСбыт Бизнес»;62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
№0302200003024000001;Оказание услуг по информационному обслуживанию справочно-правовой системы;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№32413200265;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0158200000724000001;Сопровождение отраслевого регионального социального регистра населения Ростовской области.;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413201639;Право заключения Договора оказания услуг по обработке данных и размещения в информационно-коммуникационной сети Интернет портала программы для ЭВМ «Вторая очередь Информационного портала технического состояния объектов электроэнергетики – Портал мониторинга действующих объектов в электроэнергетике»;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;22.01.2024
№32413201525;Услуги  по технической и консультативной поддержке функционирования автоматизированной информационной системы «Персонифицированное финансирование дополнительного образования», а также её развитию в связи с изменяющимся законодательством Российской Федерации и требованиями;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0819300000124000001;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензионного программного  обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№0301300275424000011;Оказание услуг по информационно-техническому сопровождению программно-аппаратного комплекса «Smart Gate»;62.02.3: Услуги по технической поддержке информационных технологий;12.01.2024
№32413201370;Право заключения Договора оказания услуг по сопровождению Программы для ЭВМ «Модуль расчета нормативов запасов топлива на ТЭС» (3547855);62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413198534;Оказание услуг по сопровождению ГИС «Управление автомобильным транспортом и городским наземным электрическим транспортом, осуществляющим регулярную перевозку пассажиров и багажа»;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
