Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413236484;Выполнение работ по администрированию и поддержки функционирования программного обеспечения системы (далее ПОС) резервирования и продажи билетов TicketNe;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0119200000124000672;ЗК-№-799/24 «Услуги по сопровождению Электронного периодического справочника «Система ГАРАНТ»»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0119200000124000671;"ЗК-№-874/24 «Оказание услуг по сопровождению программных продуктов для ЭВМ «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры государственного учреждения 8» для нужд КГКУ ""ЦБ""»";62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0119200000124000670;"ЗК-№-528/24 «Предоставление неисключительного права использования баз данных электронных систем (простая неисключительная лицензия) ""Госфинансы"", ""Госзаказ"", ""Система Юрист"", ""Проверка контрагентов для юриста"" »";63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;31.01.2024
№0136500001124000170;Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413210128;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;63.11.11.000: Услуги по обработке данных;24.01.2024
№32413236466;Услуги по развитию и сопровождению информационно-расчетных систем финансово-хозяйственной деятельности;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;31.01.2024
№0860200000824000218;Оказание услуги по технической поддержке электронного периодического справочника «Система Гарант»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0318300260324000002;Оказание услуг по поставке сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0119200000124000125;ЭА-№-76/24 «Оказание услуг по технической поддержке информационной системы автоматизации деятельности многофункциональных центров предоставления государственных и муниципальных услуг Красноярского края в 2024 году»;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0136500001124000169;Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0119200000124000665;ЭА-№-753/24 «Оказание услуг по организации информационного обеспечения и взаимодействия с представителями СМИ в 2024 году»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;31.01.2024
№0372200278524000003;Оказание услуг по предоставлению сертификата на техническую поддержку компьютерного программного обеспечения для государственных нужд Санкт-Петербурга;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413236316;Оказание услуг по предоставлению доступа к программно-аппаратному комплексу по поиску, идентификации и анализу данных об объектах;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413236311;Оказание услуг по информационно-аналитическому сопровождению деятельности ППК «Фонда развития территорий»;63.91: Услуги информационных агентств;31.01.2024
№0221100003024000001;"Оказание услуг по предоставлению сертификата технической поддержки ПК ""Модуль авторизации в Единой системе идентификации и аутентификации"" для нужд ТФОМС СК ";62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№0351100006324000001;"Оказание услуг по предоставлению ключа доступа на информационное сопровождение и обновление электронной информационно-справочной системы ""Техэксперт""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413236278;Оказание услуг по сопровождению программных продуктов 1С:8, доработанных под требования Заказчика;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0302200007424000003;Оказание услуг по системно-техническому сопровождению средств вычислительной техники, оборудования локальной вычислительной сети и программного обеспечения;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0171300001824000002;Оказание услуги по обновлению системы «Управление имуществом»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0145300010324000012;Оказание услуг по информационному освещению деятельности Совета депутатов муниципального образования «Кингисеппский муниципальный район» Ленинградской области в периодическом печатном издании, имеющем распространение на территории Кингисеппского муниципального района;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;31.01.2024
№0128200000124000019;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Суздальского района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№0128200000124000021;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Гусь-Хрустального района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
