Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413226388;"ОКПД2 62.02.30.000  Предоставление сертификата технической поддержки для средств криптографической защиты информации ""ViPNet"" для АО ""ДГК"" в р. Саха (Якутия), Приморском крае, Хабаровском крае, Амурской области, ЕАО";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0127200000224000023;"Оказание услуг по информационно-техническому сопровождению системы ГЛОНАСС для нужд ГБУЗ ""Жуковская МБ""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0120200000224000003;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в Избирательной комиссии Приморского края экземплярами Систем;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0816500000624000046;На оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники) (далее — ЭПС «Система ГАРАНТ»), ранее установленного у заказчика, содержащей информацию о текущем состоянии законодательства Российской Федерации, путем предоставления в электронном виде по каналам связи посредством телекоммуникационной сети Интернет формируемых текущих версий специальных информационных массивов ЭПС «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0121200004724000025;Оказание услуг сервисного информационно-технического обслуживания региональной информационной системы доступности дошкольного образования Ставропольского края;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№32413229524;Оказание услуг по комплексному сопровождению программ «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры государственного учреждения 8»;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413229517;Оказание информационных услуг с использованием экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0848300051624000005;Оказание услуг по предоставлению лицензии на справочно-образовательную платформу для нужд администрации Раменского городского округа;62.02.3: Услуги по технической поддержке информационных технологий;19.01.2024
№0120300004024000004;Оказание услуг по освещению в периодическом печатном издании (газете) деятельности органов местного самоуправления и муниципальных учреждений Новошахтинского городского поселения;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;22.01.2024
№0190200000324000513;Оказание услуг по технической поддержке государственной информационной системы Ямало-Ненецкого автономного округа «Личный кабинет сотрудника»;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0160300003224000008;Оказание услуг по обновлению программного обеспечения для организации схемы исполнения бюджета в 2024 году, с учетом технологических решений;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0162300007324000001;Оказание услуг по технической поддержке информационных технологий, обслуживанию и сопровождению системы КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0301300175024000001;оказание услуг по  технической поддержке автоматизированной информационной системы программных продуктов Бухгалтерия государственного учреждения установленная в Государственном бюджетном учреждении здравоохранения Республики Башкортостан Кармаскалинская центральная районная больница;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0320300143824000001;Услуги по обработке данных;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;30.01.2024
№32413229378;Право заключения договора на предоставление права использования программы для ЭВМ для нужд АО «СО ЕЭС» (3555511);62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0302300054624000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0108500000424000218;Оказание услуг по доработке подсистем, связанных с предоставлением мер социальной поддержки, в Автоматизированной системе социальной защиты на платформе Sitex-ЭСРН;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;30.01.2024
№0318300396824000001;Оказание услуг по поставке сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№32413227055;Оказание услуг по передаче неисключительных прав на использование функционала модулей медицинской информационной системы «Байкал»;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;30.01.2024
№0154200000524000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Департаменте финансов Орловской области экземплярами Систем КонсультантПлюс.;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0334100014124000002;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№0869200000224000373;Оказание услуг в области технической защиты информации (комплексная техническая поддержка средств защиты информации аттестованной информационной системы персональных данных);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№32413227401;работы по доработке сайта ;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;30.01.2024
№0172300004424000003;Оказание услуг по техническому обслуживанию и ремонту персональных компьютеров, диагностике оргтехники, находящихся в пользовании Местной Администрации МО Кронверкское, предоставление консультаций по вопросам их эксплуатации, взаимодействие с техническими и административными службами информационных систем, используемых в работе Заказчиком;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№32413226007;Оказание услуг по поставке, адаптации и сопровождению экземпляров систем КонсультантПлюс (1 полугодие);63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;30.01.2024
№0387200005424000013;"Оказание  услуг на предоставление права использования и абонентское обслуживание Системы ""Контур. Экстерн""";"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.03.12.130: Услуги по сопровождению компьютерных систем";30.01.2024
№32413226186;"Оказание услуг по обслуживанию программного обеспечения ""1С: Бухгалтерия государственного учреждения"", ""1С: Зарплата и кадры государственного учреждения""";62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0816500000624000299;Оказание услуг по информационному обслуживанию ранее установленной справочно–правовой системы Гарант;62.02.3: Услуги по технической поддержке информационных технологий;30.01.2024
№32413228632;Оказание услуг по абонентскому обслуживанию электронного периодического справочника Система Гарант;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413229100;Оказание услуг по сопровождению Электронного периодического справочника;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;30.01.2024
№0322200030424000013;Оказание услуг по учету медикаментов и управлению лекарственными средствами с применением программного продукта «1С» Медицина. Больничная аптека, учету продуктов и управлению питанием в лечебном учреждении с применением программного обеспечения «1С: Медицина. Диетическое питание», информационно-технологическому сопровождению (1С:КП МЕДИЦИНА);62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0116300005624000003;"Приобретение неисключительного права использования базы данных ""Система Охрана труда Плюс"" (многопользовательский доступ) или эквивалент.";63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;30.01.2024
№32413229052;Услуги по информационно-аналитическому обеспечению НИР и ОКР;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;30.01.2024
№0818500003324000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
№0318200084524000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
№0360300052824000028;Оказание услуг по адаптации и сопровождению экземпляров систем КОНСУЛЬТАНТ ПЛЮС;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0320300021024000001;"Предоставление абонемента на техническое обслуживание программных продуктов ""БАРС-Имущество""";62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413227211;Поставка, установка, настройка оборудования, ввод в эксплуатацию, а также оказание услуг абонентского обслуживания системы спутникового мониторинга «ГЛОНАСС» ;"26.51.20.121: Аппаратура радионавигационная для работы в системе спутниковой навигации ГЛОНАСС или ГЛОНАССGPS (кроме устройств с функцией вызова экстренных оперативных служб и аппаратуры спутниковой навигации); 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";30.01.2024
№0372200012224000001;Услуги   по сопровождению медицинской информационной системы «СТОММИС» для нужд СПб ГБУЗ «Стоматологическая поликлиника № 15» в 2024 году;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0352300074824000009;Оказание услуг по программному сопровождению (технической поддержке) медицинской информационной системы «Медея» (Реестровый номер 2024.007768);62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0387200002824000076;Оказание услуг по информационно - консультационному сопровождению и созданию электронной интеграции документов из справочной системы в ГИС Кадры;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0372100005624000003;Оказание услуг по сопровождению системы КАМИС 5, систем и сервисов на базе системы КАМИС 5, а также по сопровождению обеспечивающих их серверов для учетно-фондовых отделов федерального государственного бюджетного учреждения культуры «Государственный Эрмитаж» в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413228969;" Оказание услуг по информационно-технической поддержке комплекса информационных систем АУЗ ВО ""ВОККДЦ"" в части сопровождения и технической поддержки ИС ""МедАнгел"" и ИБ на основе ПО ""1С:Медицина.Больничная аптека"" ";62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0318300353424000005;Оказание информационных услуг по сопровождению специализированного программного обеспечения и авторскому сопровождению специализированного программного обеспечения;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;21.01.2024
№0815500000524000152;"Оказание информационных услуг по обслуживанию СПС ""ГАРАНТ"" ";62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0815500000524000291;Оказание услуг по предоставлению возможности использования информационных систем и информационных ресурсов, размещаемых в Республиканском центре обработке данных;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;23.01.2024
№32413228937;Оказание услуг по информационному и технологическому взаимодействию, связанных с обеспечением расчетов;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№0154200000924000003;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс для нужд Управления по организационному обеспечению деятельности мировых судей Орловской области.;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0301300240024000002;"Право использования программы для ЭВМ ""Контур.Экстерн"". Услуги по сопровождению программы для ЭВМ ""Контур.Экстерн"" (техническая поддержка в виде абонентского обслуживания).";"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.03.12.130: Услуги по сопровождению компьютерных систем";22.01.2024
№0387200005424000012;Оказание  услуг по передаче неисключительных прав на получение обновлений к бессрочной минимальной серверной лицензии программы для ЭВМ «Альфадок.Платформа» сроком на 1 год;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№0813500000124000542;зз-0016-00529 - 2024 Услуги по распространению информации о деятельности Городской думы города Ижевска (услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации);63.91.1: Услуги информационных агентств;30.01.2024
№0372200129324000003;Оказание услуг по сопровождению сегмента Единой системы электронного документооборота и делопроизводства исполнительных органов государственной власти Санкт-Петербурга для Государственного бюджетного учреждения дополнительного образования спортивная школа № 2 Красногвардейского района Санкт-Петербурга, для нужд Санкт-Петербурга в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0358300092924000011;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами систем КонсультантПлюс.;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№32413228822;Услуги по информационно-технологическому и консультационному обслуживанию программных продуктов;62.02.30: Услуги по технической поддержке информационных технологий;30.01.2024
№32413228820;Оказание услуг по техническому сопровождению ;62.02.10.000: Услуги консультативные по компьютерному оборудованию;30.01.2024
