Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413179687;ОКАЗАНИЕ УСЛУГ ПО СОПРОВОЖДЕНИЮ ПРОГРАММНЫХ ПРОДУКТОВ И КОНСУЛЬТАЦИОННОЕ ОБСЛУЖИВАНИЕ ПО ИХ ИСПОЛЬЗОВАНИЮ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413179632;Оказание информационно-консультационных услуг программных продуктов 1С;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413180413;"Доступ к персонифицированной информации в электронном справочнике ""Информио";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413180364;"Оказание услуг по адаптации, установке, тестированию, сопровождению программ для ЭВМ системы ""1С «Предприятие"" и баз данных 1С:ИТС";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413180358;Инфрмационные услуги MONTRANS ;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177437;право использования базы данных «Система контроля транспортных средств (СКТС)»;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";16.01.2024
№32413178000;Оказание услуг на информационное абонентское обслуживание;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413180192;"Оказание услуг по адаптации и сопровождению экземпляров Систем СПС КонсультантПлюс в 2024 году для нужд филиала ППК ""Роскадастр"" по Республике Татарстан";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413176163;"№29 Оказание услуг по продлению программного продукта ""Автоматизация формирования и актуализации внутренней документации учреждений и организаций (АльфаДок) версия 1.0"" для нужд БУЗ УР ""Глазовская ГСП МЗ УР""";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413180137;"Оказание услуг по комплексному сопровождению и информационно-методическому обслуживанию прикладного программного комплекса ""СтекЭнерго""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413177235;Оказание услуг на права доступа к использованию и обновлению программы «Реестр закупок» для нужд ГАУ ДПО ЧИРОиПК;62.01.29.000: Оригиналы программного обеспечения прочие;16.01.2024
№32413177521;4/2024-ЕП Сопровождение программы «1С: Предприятие;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413179258;ПОСТАВКИ, АДАПТАЦИИ И СОПРОВОЖДЕНИЯ ЭКЗЕМПЛЯРОВ СИСТЕМ КОНСУЛЬТАНТПЛЮС;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413179249;Приобретение неисключительных (пользовательских) прав на программное обеспечение;62.01.29.000: Оригиналы программного обеспечения прочие;16.01.2024
№32413180019;Адаптация и сопровождение экземпляров Систем;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413179228;Предоставление права на использование ПО «СТАРТ-Проф» (№ 3-ЗП/2024) (Закупка у субъектов малого и среднего предпринимательства);62.01.29.000: Оригиналы программного обеспечения прочие;16.01.2024
№32413180005;Оказание услуг по сопровождению раннее установленных адаптированных экземпляров системы Консультант плюс;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177785;Лицензионный договор о предоставлении права использования программы для  электронных вычислительных машин путем предоставления удаленного доступа к нему через информационно - телекоммуникационную сеть «Интернет» ;62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;16.01.2024
№32413178548;Информационное обслуживание.;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413179168;Оказание услуг по предоставлению программного обеспечения;62.01.29.000: Оригиналы программного обеспечения прочие;16.01.2024
№32413179547;услуги по сопровождению компьютерных систем ;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413179141;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Закупки»)» и базы данных «Справочно-правовая система «ЮРИС-закупки» (простая неисключительная лицензия)                                                                   ;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413179916;Оказание процессинговых услуг;62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;16.01.2024
№32413179895;"Оказание услуг на передачу неисключительных прав использования базы данных электронной системы ""Госфинансы»";63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413178472;Оказание услуг по комплексному сопровождению программных продуктов ПТК.;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413179823;"Оказание услуг по технической поддержке программного продукта ""АРМ КИО""";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
