Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0352300014224000006;Оказание услуги по адаптации и сопровождению экземпляров систем КонсультантПлюс (Реестровый номер 2024.005867);62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№0372200177824000002;Оказание услуг по адаптации и сопровождению экземпляра СПС КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;25.01.2024
№0848300046124000004;Оказание услуг по размещению информации об основных событиях социально-экономического развития, общественно-политической жизни, освещение деятельности органов местного самоуправления в печатных и электронных СМИ, выходящих на территории Можайского городского округа, а так же оказание услуг по опубликованию муниципальных правовых актов органов местного самоуправления, иной официальной информации Администрации Можайского городского округа, извещений о проведении торгов, вносимых в них изменениях, об отказе от их проведения и иной информации, связанной с организацией и проведением торгов.;63.99.1: Услуги информационные прочие, не включенные в другие группировки;16.01.2024
№0318200044424000001;Сертификат на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.3: Услуги по технической поддержке информационных технологий;26.01.2024
№0350400000424000001;"Предоставление лицензии на антивирус для нужд филиала ""Новгородводхоз"" ФГБВУ ""Центррегионводхоз""";62.01.29.000: Оригиналы программного обеспечения прочие;24.01.2024
№0372500009024000001;Оказание услуг по адаптации и сопровождению экземпляров Систем «Консультант Плюс»;"62.09.20.120: Услуги по установке программного обеспечения; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";26.01.2024
№0114500000824000008;"Оказание услуг по сопровождению СЭД ""Практика""";62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0318200026424000005;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№0301300239124000005;Оказание услуг по подключению к системе ПАРУС-Мониторинг ГБУЗ РБ ГКБ Демского района  г. Уфы;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0114500000824000011;Оказание услуг по предоставлению доступа к справочно-информационной системе.;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413223526;Оказание услуг по информированию населения муниципального образования о деятельности органов местного самоуправления муниципального образования Московской области посредством социальных сетей, мессенджеров, e-mail-рассылок, SMS-информирования;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;29.01.2024
№0859200001124000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;24.01.2024
№0127200000824000001;Оказание услуг по информационному обслуживанию экземпляров Специальных Выпусков Системы КонсультантПлюс в судебных участках мировых судей Брянской области.;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№0318200017824000002;Услуги по сопровождению, технической поддержке и сервисному обслуживанию Программных продуктов «Парус»;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0318200004924000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№0128200000124000054;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Киржачского района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;23.01.2024
