Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0301200020124000002;Запрос котировок в электронной форме;Оказание услуг по подключению и сопровождению информационно-справочной системы «Техэксперт»;;'242027602041302770100100110016202244';;;141405.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ БАШКОРТОСТАН УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО АНАЛИТИЧЕСКОГО КОНТРОЛЯ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ БАШКОРТОСТАН УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО АНАЛИТИЧЕСКОГО КОНТРОЛЯ;26.01.2024;26.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;26.01.2024;02.02.2024;
44-ФЗ;№0176200005524000020;Электронный аукцион;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники);;'243010100215601010100100170016203244';;;143812.35;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ГИАГИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;26.01.2024;26.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;26.01.2024;05.02.2024;
44-ФЗ;№0372200105424000001;Электронный аукцион;Предоставление простого (неисключительного) права на получение обновлений, эксплуатируемого программного продукта «Медицинская Информационная Система» Комплекс Программных Средств «Система Автоматизации Медико-Страхового Обслуживания Населения» «Самсон» для нужд   СПБ ГБУЗ «Городская поликлиника № 30» в 2024 году.;;'242781310357378130100100140016202244';;;854359.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ  БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №30""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ  БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №30""";24.01.2024;26.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;;01.02.2024;
44-ФЗ;№0884200000624000001;Электронный аукцион;Оказание услуг по по модернизации функционала программного продукта личного кабинета гражданина и предварительной записи на Портале сети МФЦ Ненецкого автономного округа и в мобильном приложении «Мои Документы Ненецкого автономного округа»;;'242298300930729830100100100016201244';;;180000.00;RUB;;;;;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;"КАЗЕННОЕ УЧРЕЖДЕНИЕ НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""";"КАЗЕННОЕ УЧРЕЖДЕНИЕ НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""";25.01.2024;26.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;25.01.2024;02.02.2024;
44-ФЗ;№0128200000124000113;Электронный аукцион;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) г. Покров Владимирской области для нужд Законодательного Собрания Владимирской области;;'242332810164733280100100160016391244';;;150000.00;RUB;;;;;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ ВЛАДИМИРСКОЙ ОБЛАСТИ;МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;26.01.2024;26.01.2024;Подача заявок;;26.01.2024;07.02.2024;
223-ФЗ;№32413211501;Прочие;"Передача права использования электронной базы данных ""Госфинансы.Плюс"" на условиях простой (неисключительной) лицензии для ИФТПС СО РАН";;;1;"Передача права использования электронной базы данных ""Госфинансы.Плюс"" на условиях простой (неисключительной) лицензии для ИФТПС СО РАН";132911.10;RUB;;;;;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ФЕДЕРАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""ЯКУТСКИЙ НАУЧНЫЙ ЦЕНТР СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК""";;25.01.2024;26.01.2024;Подача заявок;;25.01.2024;02.02.2024;
223-ФЗ;№32413217567;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс ;;;1;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс;180000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ КОНСТРУКТОРСКО-ТЕХНОЛОГИЧЕСКОЙ ИНФОРМАТИКИ РОССИЙСКОЙ АКАДЕМИИ НАУК;;26.01.2024;26.01.2024;Подача заявок;;26.01.2024;06.02.2024;
44-ФЗ;№0843500000224000131;Электронный аукцион;Оказание услуг по расширенному сопровождению информационной системы «Единый социальный регистр населения»;;'242450102017145010100100030016203242';;;3150000.00;RUB;;;;;62.03.1: Услуги по управлению компьютерным оборудованием;62.03.10.000-00000003: Услуги по управлению компьютерным оборудованием;ГЛАВНОЕ УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ КУРГАНСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""";26.01.2024;26.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;26.01.2024;05.02.2024;
223-ФЗ;№32413162280;Прочие;Лот № 659.24.00228 Открытые конкурентные переговоры в электронной форме на право заключения Договора на техническую поддержку средств защиты информации;;;1;Лот № 659.24.00228 Техническая поддержка средств защиты информации;291375.00;RUB;;;;;62.01.29.000: Оригиналы программного обеспечения прочие;62.01.29.000: Оригиналы программного обеспечения прочие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕДИНЫЙ ИНФОРМАЦИОННО-РАСЧЕТНЫЙ ЦЕНТР САНКТ-ПЕТЕРБУРГА""";;10.01.2024;26.01.2024;Подача заявок;;10.01.2024;01.02.2024;
44-ФЗ;№0128200000124000102;Электронный аукцион;Оказание услуг по проведению ежедневного аналитического исследования размещенной информации о социально-экономическом развитии Владимирской области в средствах массовой информации для нужд Администрации Губернатора Владимирской области;;'242332810135833280100100310016311244';;;850000.00;RUB;;;;;63.11.11.000: Услуги по обработке данных;63.11.11.000: Услуги по обработке данных;АДМИНИСТРАЦИЯ ГУБЕРНАТОРА ВЛАДИМИРСКОЙ ОБЛАСТИ;МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;26.01.2024;26.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;26.01.2024;07.02.2024;
